parent_question,profession_question,spearman_correlation,spearman_p_value,pearson_correlation,pearson_p_value,n_pairs
"19. Я не считаю его (ее) таким умным и способным, как мне хотелось бы.",12. Дает возможности для роста профессионального мастерства,-0.3041736285770782,0.03174510109958941,-0.3168242980699655,0.024979543230713518,50
"19. Я не считаю его (ее) таким умным и способным, как мне хотелось бы.",19. Позволяет использовать профессиональные умения вне работы,0.03035547149201842,0.8342415696995926,-0.0007665252647403938,0.9957847492846789,50
2. Я всегда наказываю его (ее) за плохие уступки.,12. Дает возможности для роста профессионального мастерства,0.1734976532190018,0.22822346208789196,0.15614025516815436,0.27889226945591217,50
2. Я всегда наказываю его (ее) за плохие уступки.,19. Позволяет использовать профессиональные умения вне работы,0.036133724045758514,0.8032657209193997,0.019068725973603266,0.8954290399794766,50
20. Могу признать свою неправоту и извиниться перед ним (ней).,12. Дает возможности для роста профессионального мастерства,0.07012646229431335,0.6284401456582009,0.1074172311059149,0.4577871701741485,50
20. Могу признать свою неправоту и извиниться перед ним (ней).,19. Позволяет использовать профессиональные умения вне работы,0.13763190522314483,0.3405213881209297,0.1060116016333349,0.46372686937623964,50
21. Я часто иду у него (нее) на поводу.,12. Дает возможности для роста профессионального мастерства,0.12456468493396239,0.3887474371589126,0.15507448594912304,0.2822274634832682,50
21. Я часто иду у него (нее) на поводу.,19. Позволяет использовать профессиональные умения вне работы,-0.30123079078764076,0.03351990998677478,-0.2977425345125571,0.03572930712688856,50
22. Мне трудно бывает предсказать свое поведение по отношению к нему (ней).,12. Дает возможности для роста профессионального мастерства,-0.020717309782603513,0.8864453648454997,-0.009229764388043255,0.9492768832087266,50
22. Мне трудно бывает предсказать свое поведение по отношению к нему (ней).,19. Позволяет использовать профессиональные умения вне работы,0.007482592270260636,0.9588694438365146,-0.026167633877622595,0.856851189327366,50
"23. Думаю, что я для него (нее) авторитетный человек.",12. Дает возможности для роста профессионального мастерства,0.1741817970230636,0.22636596559930267,0.20883378709612913,0.14555007655254923,50
"23. Думаю, что я для него (нее) авторитетный человек.",19. Позволяет использовать профессиональные умения вне работы,-0.23248185156975715,0.10423442632819187,-0.2341165187370891,0.10175299458092768,50
24. Мне нравятся наши с ней (с ним) отношения.,12. Дает возможности для роста профессионального мастерства,0.083529636000025,0.5641326633582029,0.1706126797320376,0.23617187840220472,50
24. Мне нравятся наши с ней (с ним) отношения.,19. Позволяет использовать профессиональные умения вне работы,0.08947517165736958,0.5366254638130081,0.10200511671792302,0.4808826604751383,50
"25. Дома у него больше обязанностей, чем у большинства его друзей.",12. Дает возможности для роста профессионального мастерства,0.05907175865930338,0.6836468561567917,0.06830866818577547,0.6373911026742947,50
"25. Дома у него больше обязанностей, чем у большинства его друзей.",19. Позволяет использовать профессиональные умения вне работы,0.08789007366222369,0.5438946419972372,0.07809610778857325,0.5898316152349192,50
26. Приходится применять к нему (к ней) физические наказания.,12. Дает возможности для роста профессионального мастерства,-0.26361056696091617,0.06435254251374745,-0.2598505751938437,0.0683954032700841,50
26. Приходится применять к нему (к ней) физические наказания.,19. Позволяет использовать профессиональные умения вне работы,0.2714392139536763,0.05654791006608497,0.2763728303035982,0.05203438648100514,50
"27. Ему(ей) приходится поступать так, как я говорю, даже если он(а) не хочет.",12. Дает возможности для роста профессионального мастерства,0.11561306977544679,0.4239906837810742,0.15196173688765094,0.29211781079944693,50
"27. Ему(ей) приходится поступать так, как я говорю, даже если он(а) не хочет.",19. Позволяет использовать профессиональные умения вне работы,-0.061121861794495295,0.6732732291129444,-0.06650985899261352,0.6462992895457167,50
"28. Думаю, я лучше знаю, что ему (ей) нужно.",12. Дает возможности для роста профессионального мастерства,-0.053601050386210124,0.7116088587552452,-0.03402069087198858,0.814561178548814,50
"28. Думаю, я лучше знаю, что ему (ей) нужно.",19. Позволяет использовать профессиональные умения вне работы,-0.08026714238316755,0.5795007017210436,-0.08424399781902266,0.5607931947029037,50
29. Я всегда сочувствую своему ребенку.,12. Дает возможности для роста профессионального мастерства,0.22534121660491896,0.11562304180006086,0.24853371169310853,0.0817937425986883,50
29. Я всегда сочувствую своему ребенку.,19. Позволяет использовать профессиональные умения вне работы,-0.12926550282995894,0.3709538446051487,-0.15437295600303086,0.28443704906468414,50
"3. Он(а) редко говорит мне, куда идет и когда вернется.",12. Дает возможности для роста профессионального мастерства,0.007249157103361055,0.9601515475682485,-0.020228447955602816,0.8891079117348262,50
"3. Он(а) редко говорит мне, куда идет и когда вернется.",19. Позволяет использовать профессиональные умения вне работы,-0.18736008647930816,0.19260897766806612,-0.17471301325763625,0.2249309002666462,50
"30. Мне кажется, я его (ее) понимаю.",12. Дает возможности для роста профессионального мастерства,0.13585809992561299,0.34684046981296734,0.15099693828733746,0.29522854376598473,50
"30. Мне кажется, я его (ее) понимаю.",19. Позволяет использовать профессиональные умения вне работы,0.0031920087138098486,0.982447901899265,0.009975788488656667,0.9451830499563545,50
31. Я хотел(а) бы в нем (ней) многое изменить.,12. Дает возможности для роста профессионального мастерства,0.15864265659094998,0.271163728661126,0.21087702609664188,0.14156219022283656,50
31. Я хотел(а) бы в нем (ней) многое изменить.,19. Позволяет использовать профессиональные умения вне работы,-0.24660923832404666,0.08426445827281104,-0.29201698027498485,0.03961565899320963,50
32. При принятии семейных решений всегда учитываю его (ее) мнение.,12. Дает возможности для роста профессионального мастерства,0.1031758674013035,0.4758351686824285,0.0691645931241483,0.6331699792913081,50
32. При принятии семейных решений всегда учитываю его (ее) мнение.,19. Позволяет использовать профессиональные умения вне работы,0.17767769428044025,0.21703748446306187,0.15694917616298354,0.27637825148582146,50
33. Я всегда соглашаюсь с его (ее) идеями и предложениями.,12. Дает возможности для роста профессионального мастерства,0.06308472407950469,0.6633971018038957,0.09660689178133712,0.5045168690786259,50
33. Я всегда соглашаюсь с его (ее) идеями и предложениями.,19. Позволяет использовать профессиональные умения вне работы,-0.06605892081624085,0.6485402396627444,-0.09480933728332613,0.5125163188998135,50
34. Мое поведение часто бывает для него (нее) неожиданным.,12. Дает возможности для роста профессионального мастерства,-0.15768926686429993,0.27409129585988823,-0.20272121351984573,0.1579771543840674,50
34. Мое поведение часто бывает для него (нее) неожиданным.,19. Позволяет использовать профессиональные умения вне работы,-0.04207855925462503,0.7717066789703348,-0.005456412678868292,0.9700009859903702,50
35. Я являюсь для него (нее) эталоном и примером во всем.,12. Дает возможности для роста профессионального мастерства,0.19376466485928437,0.1775661251908128,0.16923979370410802,0.24002012355388355,50
35. Я являюсь для него (нее) эталоном и примером во всем.,19. Позволяет использовать профессиональные умения вне работы,-0.13772270383518934,0.340199856971658,-0.1451796516938143,0.31443848699008364,50
"36. Считаю, что в целом правильно воспитываю своего сына (дочь).",12. Дает возможности для роста профессионального мастерства,-0.25221904369885956,0.0772214765214418,-0.2633337813651684,0.06464348280745005,50
"36. Считаю, что в целом правильно воспитываю своего сына (дочь).",19. Позволяет использовать профессиональные умения вне работы,0.15774963478301873,0.2739053067857692,0.18292481560388577,0.20354426668897518,50
37. Я предъявляю к нему (к ней) много требований.,12. Дает возможности для роста профессионального мастерства,-0.17969527254878437,0.21177733415814753,-0.19867985355975656,0.16661003302007552,50
37. Я предъявляю к нему (к ней) много требований.,19. Позволяет использовать профессиональные умения вне работы,0.26533440775691575,0.06256402482055518,0.26381671240368637,0.06413653564140093,50
38. По характеру я мягкий человек.,12. Дает возможности для роста профессионального мастерства,-0.07772841958525223,0.591589371539463,-0.06846531968814576,0.6366176948570968,50
38. По характеру я мягкий человек.,19. Позволяет использовать профессиональные умения вне работы,-0.035005211900178634,0.8092935157388313,-0.027027761269779974,0.8521975562104709,50
"39. Я позволяю ему (ей) возвращаться домой, когда он(а) хочет.",12. Дает возможности для роста профессионального мастерства,0.10476101850792284,0.4690461399672834,0.111074436586634,0.44252861713066516,50
"39. Я позволяю ему (ей) возвращаться домой, когда он(а) хочет.",19. Позволяет использовать профессиональные умения вне работы,-0.16423128876965434,0.2544208406543807,-0.16122030630191303,0.26335274517198176,50
4. Я считаю его (ее) вполне самостоятельным человеком.,12. Дает возможности для роста профессионального мастерства,-0.1341923123524444,0.3528400949897941,-0.13991299966519227,0.33250085070849933,50
4. Я считаю его (ее) вполне самостоятельным человеком.,19. Позволяет использовать профессиональные умения вне работы,0.2402155404604294,0.0928947726928879,0.2413835021474452,0.09126897826418914,50
40. Я стремлюсь оградить его  (ее) от трудностей и неприятностей жизни,12. Дает возможности для роста профессионального мастерства,0.12543199642275588,0.3854271836379709,0.15655607277128739,0.2775980890630298,50
40. Я стремлюсь оградить его  (ее) от трудностей и неприятностей жизни,19. Позволяет использовать профессиональные умения вне работы,-0.2136958589120077,0.13619474347443056,-0.17023909256400474,0.2372148450430327,50
"41. Я не допускаю, чтобы он(а) подмечал(а) мои слабости и недостатки.",12. Дает возможности для роста профессионального мастерства,0.13096654293202845,0.3646376831909425,0.14085904245475278,0.3292094350095266,50
"41. Я не допускаю, чтобы он(а) подмечал(а) мои слабости и недостатки.",19. Позволяет использовать профессиональные умения вне работы,-0.047233966413609677,0.7446295678329364,-0.08644255419507484,0.5505740502622898,50
42. Мне нравится его (ее) характер.,12. Дает возможности для роста профессионального мастерства,-0.011238569034592647,0.9382567462206749,-0.007126152080150203,0.9608271725053893,50
42. Мне нравится его (ее) характер.,19. Позволяет использовать профессиональные умения вне работы,0.2945323180759715,0.03786755886506929,0.2911621181413494,0.04022465592962205,50
43. Я часто критикую его по мелочам.,12. Дает возможности для роста профессионального мастерства,-0.08829875241736221,0.5420159336231583,-0.1043150730523236,0.4709508127270192,50
43. Я часто критикую его по мелочам.,19. Позволяет использовать профессиональные умения вне работы,-0.059713010531011204,0.6803957585632363,-0.07179762354399566,0.6202575935129396,50
44. Всегда с готовностью его (ее) выслушиваю.,12. Дает возможности для роста профессионального мастерства,0.2680537612821388,0.059823778065039385,0.25828581355645913,0.07013634450521875,50
44. Всегда с готовностью его (ее) выслушиваю.,19. Позволяет использовать профессиональные умения вне работы,-0.01638416964965834,0.9100854045962556,-0.0010559970863306554,0.9941929187799923,50
45. Мы расходимся с ним (с ней) по очень многим вопросам.,12. Дает возможности для роста профессионального мастерства,0.22959400081883363,0.10873161001465842,0.20220907892966777,0.15905261146627533,50
45. Мы расходимся с ним (с ней) по очень многим вопросам.,19. Позволяет использовать профессиональные умения вне работы,-0.24518597886240176,0.08612902390990379,-0.2676492428376691,0.06022519119531102,50
"46. Я наказываю его за такие поступки, которые совершаю сама.",12. Дает возможности для роста профессионального мастерства,-0.0043515018754454945,0.9760737286431698,-0.0414513336144839,0.7750201536474025,50
"46. Я наказываю его за такие поступки, которые совершаю сама.",19. Позволяет использовать профессиональные умения вне работы,-0.1417049210501507,0.32628388043136647,-0.14169360202664139,0.32632292005308294,50
47. Он(а) разделяет большинство моих взглядов.,12. Дает возможности для роста профессионального мастерства,0.07038057139454774,0.6271930583751352,0.1140587566891954,0.4302891598180626,50
47. Он(а) разделяет большинство моих взглядов.,19. Позволяет использовать профессиональные умения вне работы,0.06319139827751348,0.6628619718029252,0.028272445505651392,0.8454721702067547,50
48. Я устаю от повседневного общения с ней (с ним).,12. Дает возможности для роста профессионального мастерства,-0.0861856186916739,0.5517637210774717,-0.1347039765200812,0.35099052021139415,50
48. Я устаю от повседневного общения с ней (с ним).,19. Позволяет использовать профессиональные умения вне работы,-0.09186356817280507,0.5257625626244118,-0.11441007207388228,0.4288609581166603,50
"49. Мне приходиться заставлять его (ее) делать то, что он (она) не хочет",12. Дает возможности для роста профессионального мастерства,0.21664262701980402,0.13074786766078686,0.22097086912079605,0.12304633859320536,50
"49. Мне приходиться заставлять его (ее) делать то, что он (она) не хочет",19. Позволяет использовать профессиональные умения вне работы,0.017199458695876538,0.90563096501833,0.03489268976104256,0.8098951448290214,50
"5. Сын (дочь) может рассказать мне обо всем, что с ним (ней) происходит.",12. Дает возможности для роста профессионального мастерства,-0.04338407841211101,0.7648229302770488,-0.06764484345075757,0.640672724599989,50
"5. Сын (дочь) может рассказать мне обо всем, что с ним (ней) происходит.",19. Позволяет использовать профессиональные умения вне работы,0.2336536401695948,0.1024509775417535,0.22175090715559928,0.12169563366144376,50
"50. Я прощаю ему (ей) то, за что другие наказали бы.",12. Дает возможности для роста профессионального мастерства,0.12159812005184799,0.40023088269011164,0.15075567228888181,0.2960097865450685,50
"50. Я прощаю ему (ей) то, за что другие наказали бы.",19. Позволяет использовать профессиональные умения вне работы,-0.17228214047619045,0.2315495367640164,-0.1704240823693039,0.23669800423260148,50
"51. Мне бы хотелось знать о нем вес; о чем он(а) думает, как относится к своим друзьям и т.д.",12. Дает возможности для роста профессионального мастерства,-0.1849330569540913,0.19853989219554852,-0.1909821042237691,0.18399410887183879,50
"51. Мне бы хотелось знать о нем вес; о чем он(а) думает, как относится к своим друзьям и т.д.",19. Позволяет использовать профессиональные умения вне работы,-0.051622379056503534,0.7218178421998691,-0.04312261890255913,0.7662001342368652,50
52. Он(а) не советуется со мной с кем ему (ей) дружить.,12. Дает возможности для роста профессионального мастерства,-0.000982609334646176,0.994596482478459,-0.012120544341021472,0.9334217961500288,50
52. Он(а) не советуется со мной с кем ему (ей) дружить.,19. Позволяет использовать профессиональные умения вне работы,0.03286014743072768,0.8207810715802624,0.040126866607925304,0.7820299598900319,50
"53. Думаю, что для него (нее) я самый близкий человек.",12. Дает возможности для роста профессионального мастерства,0.02359491243020514,0.8707988237436247,0.04392193029337803,0.7619921331165582,50
"53. Думаю, что для него (нее) я самый близкий человек.",19. Позволяет использовать профессиональные умения вне работы,0.04505035907544671,0.7560630909369179,0.06425582149493045,0.6575314652416971,50
54. Я приветствую его (ее) повеление.,12. Дает возможности для роста профессионального мастерства,0.22484998283245694,0.11644000756322102,0.2292846417924562,0.10922204617660675,50
54. Я приветствую его (ее) повеление.,19. Позволяет использовать профессиональные умения вне работы,0.047845613008396265,0.7414365695639447,0.027927097213955004,0.8473371146007613,50
55. Я часто высказываю свое недовольство им.,12. Дает возможности для роста профессионального мастерства,-0.033860065448821454,0.8154213795927191,-0.1291441391608373,0.3714069806392642,50
55. Я часто высказываю свое недовольство им.,19. Позволяет использовать профессиональные умения вне работы,0.11528544003659633,0.4253139623867559,0.08097090221158992,0.5761695847921635,50
"56. Принимаю участие в делах, которые придумывает он(а).",12. Дает возможности для роста профессионального мастерства,0.0059754987920590886,0.9671485775038644,0.06318187835368674,0.6629097216354464,50
"56. Принимаю участие в делах, которые придумывает он(а).",19. Позволяет использовать профессиональные умения вне работы,0.03233930136432992,0.8235761045340122,0.022197221972769493,0.8783928224264576,50
57. Мы по-разному представляем с ним (с ней) его (ее) будущую жизнь.,12. Дает возможности для роста профессионального мастерства,0.3283328677462623,0.019918091537483914,0.33372985883603146,0.01786109360370449,50
57. Мы по-разному представляем с ним (с ней) его (ее) будущую жизнь.,19. Позволяет использовать профессиональные умения вне работы,-0.34948958214144343,0.012855063499477952,-0.3739139385802501,0.007475424495827287,50
"58. Бывает, что упрекаю и хвалю его (ее), в сущности, за одно и то же.",12. Дает возможности для роста профессионального мастерства,0.09511298275184374,0.5111605611899429,0.10910894511799618,0.45069374847029653,50
"58. Бывает, что упрекаю и хвалю его (ее), в сущности, за одно и то же.",19. Позволяет использовать профессиональные умения вне работы,-0.10052669118328245,0.4872967617578198,-0.1380276922952138,0.33912122817283863,50
"59. Думаю, ему (ей) хотелось бы походить на меня.",12. Дает возможности для роста профессионального мастерства,0.15796112594787376,0.2732543771496153,0.18815432879840474,0.19069576307627775,50
"59. Думаю, ему (ей) хотелось бы походить на меня.",19. Позволяет использовать профессиональные умения вне работы,0.00722832213635877,0.9602659850496214,-0.02108982373620775,0.8844173287243238,50
"6. Думаю, что он(а) ничего не добьется в жизни.",12. Дает возможности для роста профессионального мастерства,-0.04753924096025958,0.7430353982977171,-0.03412618163949675,0.8139963590993087,50
"6. Думаю, что он(а) ничего не добьется в жизни.",19. Позволяет использовать профессиональные умения вне работы,-0.15430599805505635,0.28464853522821276,-0.1518644535932235,0.2924305042881752,50
"60. Я хочу, чтобы он(а) всегда относился(лась) ко мне так же, как сейчас.",12. Дает возможности для роста профессионального мастерства,-0.14221824682734682,0.32451649544276784,-0.1319406041844226,0.3610503655621681,50
"60. Я хочу, чтобы он(а) всегда относился(лась) ко мне так же, как сейчас.",19. Позволяет использовать профессиональные умения вне работы,0.0919414278005773,0.5254102833880061,0.10216796202832312,0.48017889447512696,50
"7. Я говорю ему (ей) чаще о его(ее) недостатках, чем достоинствах.",12. Дает возможности для роста профессионального мастерства,0.0436963161963971,0.7631792017253874,0.035238073930120455,0.8080488048906576,50
"7. Я говорю ему (ей) чаще о его(ее) недостатках, чем достоинствах.",19. Позволяет использовать профессиональные умения вне работы,0.1754799235930487,0.22287023517960763,0.09990471894932942,0.490008472919916,50
8. Часто поручаю ему (ей) важные и трудные дела.,12. Дает возможности для роста профессионального мастерства,-0.06220417279611744,0.6678207103034735,-0.04275691248090128,0.7681276451370699,50
8. Часто поручаю ему (ей) важные и трудные дела.,19. Позволяет использовать профессиональные умения вне работы,0.18483432352184614,0.198783872707387,0.17607827697876072,0.22127159020841553,50
9. Нам трудно достичь взаимного согласия.,12. Дает возможности для роста профессионального мастерства,-0.07588326888115522,0.6004451958454171,-0.09722222222222221,0.5017932593876884,50
9. Нам трудно достичь взаимного согласия.,19. Позволяет использовать профессиональные умения вне работы,0.09640238017065146,0.505423757917686,0.03588779279108597,0.8045783770668851,50
"Я даю согласие на обработку персональных данных моих и моего ребенка в исследовательских целях. Мне известно, что данные будут использованы только в обобщенном виде. ",12. Дает возможности для роста профессионального мастерства,,,,,50
"Я даю согласие на обработку персональных данных моих и моего ребенка в исследовательских целях. Мне известно, что данные будут использованы только в обобщенном виде. ",19. Позволяет использовать профессиональные умения вне работы,,,,,50
